time,value
2026-04-20T10:00:00,1.717
2026-04-20T10:00:10,2.9562
2026-04-20T10:00:20,2.5995
2026-04-20T10:00:30,3.0826
2026-04-20T10:00:40,3.1461
2026-04-20T10:00:50,2.6471
2026-04-20T10:01:00,2.1099
2026-04-20T10:01:10,2.0222
2026-04-20T10:01:20,2.708
2026-04-20T10:01:30,1.8918
2026-04-20T10:01:40,1.6655
2026-04-20T10:01:50,1.438
2026-04-20T10:02:00,2.618
2026-04-20T10:02:10,3.0089
2026-04-20T10:02:20,2.013
2026-04-20T10:02:30,2.9595
2026-04-20T10:02:40,2.4518
2026-04-20T10:02:50,0.1673
2026-04-20T10:03:00,2.5554
2026-04-20T10:03:10,2.2871
2026-04-20T10:03:20,1.4774
2026-04-20T10:03:30,1.1545
2026-04-20T10:03:40,8.6437
2026-04-20T10:03:50,12.3791
2026-04-20T10:04:00,16.9109
2026-04-20T10:04:10,17.5876
2026-04-20T10:04:20,35.3435
2026-04-20T10:04:30,21.8852
2026-04-20T10:04:40,40.5907
2026-04-20T10:04:50,34.0328
2026-04-20T10:05:00,25.176
2026-04-20T10:05:10,31.1705
2026-04-20T10:05:20,27.1543
2026-04-20T10:05:30,50.5248
2026-04-20T10:05:40,49.9963
2026-04-20T10:05:50,44.1088
2026-04-20T10:06:00,45.0122
2026-04-20T10:06:10,53.0652
2026-04-20T10:06:20,27.0035
2026-04-20T10:06:30,67.4526
2026-04-20T10:06:40,68.0054
2026-04-20T10:06:50,52.1661
2026-04-20T10:07:00,37.9248
2026-04-20T10:07:10,77.5335
2026-04-20T10:07:20,64.9439
2026-04-20T10:07:30,107.3724
2026-04-20T10:07:40,60.6046
2026-04-20T10:07:50,87.8433
2026-04-20T10:08:00,110.1084
2026-04-20T10:08:10,65.4281
2026-04-20T10:08:20,108.7162
2026-04-20T10:08:30,63.2467
2026-04-20T10:08:40,89.0076
2026-04-20T10:08:50,79.9638
2026-04-20T10:09:00,37.3526
2026-04-20T10:09:10,95.5606
2026-04-20T10:09:20,54.1742
2026-04-20T10:09:30,79.8821
2026-04-20T10:09:40,25.0671
2026-04-20T10:09:50,79.1528
