time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.0763
2026-04-20T10:00:40,0.0414
2026-04-20T10:00:50,0.0137
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.0
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.0
2026-04-20T10:01:40,0.0451
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.0
2026-04-20T10:02:50,0.0998
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.2586
2026-04-20T10:03:30,0.0
2026-04-20T10:03:40,0.2801
2026-04-20T10:03:50,0.0167
2026-04-20T10:04:00,0.032
2026-04-20T10:04:10,0.0237
2026-04-20T10:04:20,0.4366
2026-04-20T10:04:30,0.4667
2026-04-20T10:04:40,0.3835
2026-04-20T10:04:50,0.461
2026-04-20T10:05:00,0.4717
2026-04-20T10:05:10,0.6341
2026-04-20T10:05:20,0.6666
2026-04-20T10:05:30,0.8051
2026-04-20T10:05:40,0.8491
2026-04-20T10:05:50,1.0805
2026-04-20T10:06:00,1.0
2026-04-20T10:06:10,1.1618
2026-04-20T10:06:20,1.0517
2026-04-20T10:06:30,1.313
2026-04-20T10:06:40,1.2879
2026-04-20T10:06:50,1.3947
2026-04-20T10:07:00,1.3763
2026-04-20T10:07:10,1.3907
2026-04-20T10:07:20,1.5145
2026-04-20T10:07:30,1.644
2026-04-20T10:07:40,1.5209
2026-04-20T10:07:50,1.5866
2026-04-20T10:08:00,1.8076
2026-04-20T10:08:10,1.7561
2026-04-20T10:08:20,1.7354
2026-04-20T10:08:30,1.7562
2026-04-20T10:08:40,1.9275
2026-04-20T10:08:50,1.8599
2026-04-20T10:09:00,1.9753
2026-04-20T10:09:10,1.8806
2026-04-20T10:09:20,2.0443
2026-04-20T10:09:30,1.979
2026-04-20T10:09:40,2.0951
2026-04-20T10:09:50,2.2336
