time,value
2026-04-20T10:00:00,1.665
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,1.8322
2026-04-20T10:00:30,1.2871
2026-04-20T10:00:40,0.3771
2026-04-20T10:00:50,1.0882
2026-04-20T10:01:00,0.93
2026-04-20T10:01:10,1.8496
2026-04-20T10:01:20,1.1561
2026-04-20T10:01:30,1.5277
2026-04-20T10:01:40,0.8836
2026-04-20T10:01:50,0.7531
2026-04-20T10:02:00,0.2479
2026-04-20T10:02:10,1.594
2026-04-20T10:02:20,0.6033
2026-04-20T10:02:30,1.0667
2026-04-20T10:02:40,1.3255
2026-04-20T10:02:50,0.9759
2026-04-20T10:03:00,0.4527
2026-04-20T10:03:10,0.5073
2026-04-20T10:03:20,2.3388
2026-04-20T10:03:30,0.7575
2026-04-20T10:03:40,0.0081
2026-04-20T10:03:50,0.5506
2026-04-20T10:04:00,10.6793
2026-04-20T10:04:10,9.7839
2026-04-20T10:04:20,16.1064
2026-04-20T10:04:30,15.1779
2026-04-20T10:04:40,15.6647
2026-04-20T10:04:50,19.3489
2026-04-20T10:05:00,26.848
2026-04-20T10:05:10,22.9829
2026-04-20T10:05:20,28.4406
2026-04-20T10:05:30,18.9031
2026-04-20T10:05:40,40.4235
2026-04-20T10:05:50,41.4746
2026-04-20T10:06:00,32.7908
2026-04-20T10:06:10,29.6747
2026-04-20T10:06:20,34.1012
2026-04-20T10:06:30,40.1118
2026-04-20T10:06:40,51.1286
2026-04-20T10:06:50,53.333
2026-04-20T10:07:00,27.9579
2026-04-20T10:07:10,44.7606
2026-04-20T10:07:20,44.6126
2026-04-20T10:07:30,78.1191
2026-04-20T10:07:40,45.5412
2026-04-20T10:07:50,24.9131
2026-04-20T10:08:00,38.3942
2026-04-20T10:08:10,36.3974
2026-04-20T10:08:20,58.8934
2026-04-20T10:08:30,47.576
2026-04-20T10:08:40,82.7588
2026-04-20T10:08:50,78.6669
2026-04-20T10:09:00,76.9343
2026-04-20T10:09:10,48.6136
2026-04-20T10:09:20,21.8005
2026-04-20T10:09:30,56.9062
2026-04-20T10:09:40,47.4086
2026-04-20T10:09:50,64.065
