time,value
2026-04-20T10:00:00,1.8525
2026-04-20T10:00:10,1.674
2026-04-20T10:00:20,1.6733
2026-04-20T10:00:30,1.5232
2026-04-20T10:00:40,1.6066
2026-04-20T10:00:50,1.446
2026-04-20T10:01:00,1.4276
2026-04-20T10:01:10,1.7914
2026-04-20T10:01:20,2.8227
2026-04-20T10:01:30,2.2678
2026-04-20T10:01:40,2.1208
2026-04-20T10:01:50,2.6037
2026-04-20T10:02:00,1.9142
2026-04-20T10:02:10,2.4582
2026-04-20T10:02:20,2.1172
2026-04-20T10:02:30,2.1806
2026-04-20T10:02:40,1.5371
2026-04-20T10:02:50,1.5655
2026-04-20T10:03:00,1.7995
2026-04-20T10:03:10,2.2403
2026-04-20T10:03:20,2.1985
2026-04-20T10:03:30,2.0474
2026-04-20T10:03:40,10.5887
2026-04-20T10:03:50,14.5377
2026-04-20T10:04:00,13.5756
2026-04-20T10:04:10,23.8326
2026-04-20T10:04:20,26.0317
2026-04-20T10:04:30,20.4638
2026-04-20T10:04:40,25.2183
2026-04-20T10:04:50,29.8408
2026-04-20T10:05:00,29.1945
2026-04-20T10:05:10,28.2456
2026-04-20T10:05:20,46.7724
2026-04-20T10:05:30,35.0912
2026-04-20T10:05:40,43.2592
2026-04-20T10:05:50,51.898
2026-04-20T10:06:00,52.1317
2026-04-20T10:06:10,59.6253
2026-04-20T10:06:20,62.1989
2026-04-20T10:06:30,44.7268
2026-04-20T10:06:40,65.2956
2026-04-20T10:06:50,59.3709
2026-04-20T10:07:00,72.1509
2026-04-20T10:07:10,75.3284
2026-04-20T10:07:20,58.9856
2026-04-20T10:07:30,48.1358
2026-04-20T10:07:40,106.0434
2026-04-20T10:07:50,125.9785
2026-04-20T10:08:00,97.6887
2026-04-20T10:08:10,70.4129
2026-04-20T10:08:20,56.7899
2026-04-20T10:08:30,83.3397
2026-04-20T10:08:40,91.7509
2026-04-20T10:08:50,68.1568
2026-04-20T10:09:00,112.2446
2026-04-20T10:09:10,106.1257
2026-04-20T10:09:20,82.0861
2026-04-20T10:09:30,138.1562
2026-04-20T10:09:40,63.6102
2026-04-20T10:09:50,166.3226
