time,value
2026-04-20T10:00:00,40.4619
2026-04-20T10:00:10,39.6524
2026-04-20T10:00:20,38.9254
2026-04-20T10:00:30,36.8343
2026-04-20T10:00:40,45.8251
2026-04-20T10:00:50,36.1176
2026-04-20T10:01:00,45.3232
2026-04-20T10:01:10,47.7104
2026-04-20T10:01:20,41.5256
2026-04-20T10:01:30,34.6172
2026-04-20T10:01:40,43.2252
2026-04-20T10:01:50,52.9935
2026-04-20T10:02:00,29.7582
2026-04-20T10:02:10,50.8911
2026-04-20T10:02:20,53.3094
2026-04-20T10:02:30,38.6774
2026-04-20T10:02:40,19.6101
2026-04-20T10:02:50,42.3377
2026-04-20T10:03:00,35.3529
2026-04-20T10:03:10,59.2788
2026-04-20T10:03:20,28.1857
2026-04-20T10:03:30,30.8707
2026-04-20T10:03:40,41.3129
2026-04-20T10:03:50,34.2897
2026-04-20T10:04:00,138.3187
2026-04-20T10:04:10,185.0527
2026-04-20T10:04:20,139.1702
2026-04-20T10:04:30,147.5802
2026-04-20T10:04:40,87.3074
2026-04-20T10:04:50,281.9997
2026-04-20T10:05:00,236.6999
2026-04-20T10:05:10,192.321
2026-04-20T10:05:20,383.8853
2026-04-20T10:05:30,175.8738
2026-04-20T10:05:40,354.8246
2026-04-20T10:05:50,435.1968
2026-04-20T10:06:00,168.174
2026-04-20T10:06:10,392.1392
2026-04-20T10:06:20,342.0072
2026-04-20T10:06:30,525.2434
2026-04-20T10:06:40,631.7193
2026-04-20T10:06:50,502.9861
2026-04-20T10:07:00,730.0829
2026-04-20T10:07:10,630.0768
2026-04-20T10:07:20,512.9313
2026-04-20T10:07:30,407.5045
2026-04-20T10:07:40,427.263
2026-04-20T10:07:50,617.8724
2026-04-20T10:08:00,721.7209
2026-04-20T10:08:10,578.4327
2026-04-20T10:08:20,324.1225
2026-04-20T10:08:30,734.5573
2026-04-20T10:08:40,709.535
2026-04-20T10:08:50,587.1907
2026-04-20T10:09:00,587.3916
2026-04-20T10:09:10,587.8076
2026-04-20T10:09:20,558.7955
2026-04-20T10:09:30,611.7488
2026-04-20T10:09:40,711.3496
2026-04-20T10:09:50,771.8392
