time,value
2026-04-20T10:00:00,37.3398
2026-04-20T10:00:10,43.836
2026-04-20T10:00:20,43.8701
2026-04-20T10:00:30,33.5569
2026-04-20T10:00:40,31.5808
2026-04-20T10:00:50,48.5853
2026-04-20T10:01:00,41.8413
2026-04-20T10:01:10,42.5999
2026-04-20T10:01:20,38.1331
2026-04-20T10:01:30,33.8395
2026-04-20T10:01:40,28.1205
2026-04-20T10:01:50,23.361
2026-04-20T10:02:00,39.8526
2026-04-20T10:02:10,36.903
2026-04-20T10:02:20,44.6766
2026-04-20T10:02:30,46.0174
2026-04-20T10:02:40,36.2224
2026-04-20T10:02:50,39.0151
2026-04-20T10:03:00,50.952
2026-04-20T10:03:10,36.9759
2026-04-20T10:03:20,42.4634
2026-04-20T10:03:30,28.9565
2026-04-20T10:03:40,40.3913
2026-04-20T10:03:50,58.9735
2026-04-20T10:04:00,58.9682
2026-04-20T10:04:10,74.4999
2026-04-20T10:04:20,54.5348
2026-04-20T10:04:30,57.2993
2026-04-20T10:04:40,75.8817
2026-04-20T10:04:50,65.4393
2026-04-20T10:05:00,67.3285
2026-04-20T10:05:10,74.5138
2026-04-20T10:05:20,88.2216
2026-04-20T10:05:30,91.4731
2026-04-20T10:05:40,92.3849
2026-04-20T10:05:50,92.9963
2026-04-20T10:06:00,98.8668
2026-04-20T10:06:10,99.6867
2026-04-20T10:06:20,105.1652
2026-04-20T10:06:30,109.1253
2026-04-20T10:06:40,120.1357
2026-04-20T10:06:50,125.6099
2026-04-20T10:07:00,133.9099
2026-04-20T10:07:10,130.8776
2026-04-20T10:07:20,137.8467
2026-04-20T10:07:30,141.4206
2026-04-20T10:07:40,144.3522
2026-04-20T10:07:50,156.4632
2026-04-20T10:08:00,158.1695
2026-04-20T10:08:10,161.9531
2026-04-20T10:08:20,158.8455
2026-04-20T10:08:30,180.1825
2026-04-20T10:08:40,190.2017
2026-04-20T10:08:50,186.591
2026-04-20T10:09:00,191.6824
2026-04-20T10:09:10,193.6701
2026-04-20T10:09:20,207.3608
2026-04-20T10:09:30,201.8347
2026-04-20T10:09:40,217.1997
2026-04-20T10:09:50,210.4408
