time,value
2026-04-20T10:00:00,38.7002
2026-04-20T10:00:10,51.8056
2026-04-20T10:00:20,45.8596
2026-04-20T10:00:30,37.8194
2026-04-20T10:00:40,68.2549
2026-04-20T10:00:50,43.7249
2026-04-20T10:01:00,32.7868
2026-04-20T10:01:10,64.3804
2026-04-20T10:01:20,46.0965
2026-04-20T10:01:30,35.4242
2026-04-20T10:01:40,30.5038
2026-04-20T10:01:50,47.0704
2026-04-20T10:02:00,49.6111
2026-04-20T10:02:10,48.4596
2026-04-20T10:02:20,39.5702
2026-04-20T10:02:30,67.04
2026-04-20T10:02:40,36.3155
2026-04-20T10:02:50,51.185
2026-04-20T10:03:00,28.8858
2026-04-20T10:03:10,51.2294
2026-04-20T10:03:20,37.9093
2026-04-20T10:03:30,65.0906
2026-04-20T10:03:40,46.9886
2026-04-20T10:03:50,59.5668
2026-04-20T10:04:00,75.5859
2026-04-20T10:04:10,60.3128
2026-04-20T10:04:20,71.4362
2026-04-20T10:04:30,78.9292
2026-04-20T10:04:40,76.3492
2026-04-20T10:04:50,85.6948
2026-04-20T10:05:00,85.253
2026-04-20T10:05:10,84.5643
2026-04-20T10:05:20,88.984
2026-04-20T10:05:30,93.3539
2026-04-20T10:05:40,96.7784
2026-04-20T10:05:50,98.5774
2026-04-20T10:06:00,103.599
2026-04-20T10:06:10,107.497
2026-04-20T10:06:20,112.4962
2026-04-20T10:06:30,118.0687
2026-04-20T10:06:40,122.0372
2026-04-20T10:06:50,127.5949
2026-04-20T10:07:00,132.9471
2026-04-20T10:07:10,137.1304
2026-04-20T10:07:20,142.5928
2026-04-20T10:07:30,148.1796
2026-04-20T10:07:40,153.7634
2026-04-20T10:07:50,157.8485
2026-04-20T10:08:00,159.7549
2026-04-20T10:08:10,165.119
2026-04-20T10:08:20,168.761
2026-04-20T10:08:30,180.0357
2026-04-20T10:08:40,179.4942
2026-04-20T10:08:50,185.9626
2026-04-20T10:09:00,191.4777
2026-04-20T10:09:10,196.6231
2026-04-20T10:09:20,202.6219
2026-04-20T10:09:30,207.2952
2026-04-20T10:09:40,211.8037
2026-04-20T10:09:50,217.0417
