time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.0532
2026-04-20T10:00:20,0.028
2026-04-20T10:00:30,0.0427
2026-04-20T10:00:40,0.0448
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.119
2026-04-20T10:01:20,0.0353
2026-04-20T10:01:30,0.0846
2026-04-20T10:01:40,0.1058
2026-04-20T10:01:50,0.0123
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.072
2026-04-20T10:02:20,0.0682
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.0
2026-04-20T10:02:50,0.051
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.0357
2026-04-20T10:03:30,0.3202
2026-04-20T10:03:40,1.2703
2026-04-20T10:03:50,0.7335
2026-04-20T10:04:00,1.953
2026-04-20T10:04:10,1.3925
2026-04-20T10:04:20,2.0379
2026-04-20T10:04:30,3.3051
2026-04-20T10:04:40,2.7439
2026-04-20T10:04:50,2.4578
2026-04-20T10:05:00,4.4527
2026-04-20T10:05:10,4.0144
2026-04-20T10:05:20,7.724
2026-04-20T10:05:30,7.4056
2026-04-20T10:05:40,5.9257
2026-04-20T10:05:50,5.4271
2026-04-20T10:06:00,5.279
2026-04-20T10:06:10,0.8115
2026-04-20T10:06:20,6.3899
2026-04-20T10:06:30,6.676
2026-04-20T10:06:40,4.3255
2026-04-20T10:06:50,2.4433
2026-04-20T10:07:00,6.2081
2026-04-20T10:07:10,8.098
2026-04-20T10:07:20,10.4703
2026-04-20T10:07:30,6.2991
2026-04-20T10:07:40,5.9185
2026-04-20T10:07:50,6.6007
2026-04-20T10:08:00,12.502
2026-04-20T10:08:10,10.7144
2026-04-20T10:08:20,8.8193
2026-04-20T10:08:30,2.4611
2026-04-20T10:08:40,3.5492
2026-04-20T10:08:50,5.5947
2026-04-20T10:09:00,8.5578
2026-04-20T10:09:10,0.5097
2026-04-20T10:09:20,0.0
2026-04-20T10:09:30,3.4031
2026-04-20T10:09:40,6.6301
2026-04-20T10:09:50,11.3824
