time,value
2026-04-20T10:00:00,12.1572
2026-04-20T10:00:10,11.2666
2026-04-20T10:00:20,3.4312
2026-04-20T10:00:30,10.0075
2026-04-20T10:00:40,6.9946
2026-04-20T10:00:50,13.8971
2026-04-20T10:01:00,7.9992
2026-04-20T10:01:10,4.9775
2026-04-20T10:01:20,10.6159
2026-04-20T10:01:30,9.0177
2026-04-20T10:01:40,13.2731
2026-04-20T10:01:50,9.407
2026-04-20T10:02:00,7.3613
2026-04-20T10:02:10,12.8715
2026-04-20T10:02:20,11.6419
2026-04-20T10:02:30,15.3179
2026-04-20T10:02:40,7.5998
2026-04-20T10:02:50,7.2122
2026-04-20T10:03:00,4.1956
2026-04-20T10:03:10,7.5793
2026-04-20T10:03:20,9.0625
2026-04-20T10:03:30,8.4451
2026-04-20T10:03:40,8.1221
2026-04-20T10:03:50,5.7601
2026-04-20T10:04:00,74.3
2026-04-20T10:04:10,113.3743
2026-04-20T10:04:20,87.5353
2026-04-20T10:04:30,166.0225
2026-04-20T10:04:40,185.0226
2026-04-20T10:04:50,113.0205
2026-04-20T10:05:00,115.1758
2026-04-20T10:05:10,287.7984
2026-04-20T10:05:20,235.5505
2026-04-20T10:05:30,170.0823
2026-04-20T10:05:40,315.2667
2026-04-20T10:05:50,275.5032
2026-04-20T10:06:00,301.5558
2026-04-20T10:06:10,198.8211
2026-04-20T10:06:20,336.1841
2026-04-20T10:06:30,266.055
2026-04-20T10:06:40,360.9482
2026-04-20T10:06:50,381.3889
2026-04-20T10:07:00,209.1943
2026-04-20T10:07:10,437.8207
2026-04-20T10:07:20,393.2051
2026-04-20T10:07:30,503.5772
2026-04-20T10:07:40,319.3851
2026-04-20T10:07:50,419.0837
2026-04-20T10:08:00,504.6979
2026-04-20T10:08:10,589.3364
2026-04-20T10:08:20,536.614
2026-04-20T10:08:30,606.8113
2026-04-20T10:08:40,574.4865
2026-04-20T10:08:50,627.9957
2026-04-20T10:09:00,557.1682
2026-04-20T10:09:10,586.235
2026-04-20T10:09:20,523.9724
2026-04-20T10:09:30,585.483
2026-04-20T10:09:40,809.941
2026-04-20T10:09:50,990.0676
