time,value
2026-04-20T10:00:00,5.2079
2026-04-20T10:00:10,4.4368
2026-04-20T10:00:20,4.7599
2026-04-20T10:00:30,4.7131
2026-04-20T10:00:40,5.4873
2026-04-20T10:00:50,6.1731
2026-04-20T10:01:00,3.381
2026-04-20T10:01:10,8.7222
2026-04-20T10:01:20,9.5214
2026-04-20T10:01:30,3.3233
2026-04-20T10:01:40,4.6093
2026-04-20T10:01:50,1.4557
2026-04-20T10:02:00,4.1704
2026-04-20T10:02:10,6.1369
2026-04-20T10:02:20,1.6636
2026-04-20T10:02:30,7.762
2026-04-20T10:02:40,4.012
2026-04-20T10:02:50,4.8398
2026-04-20T10:03:00,2.8027
2026-04-20T10:03:10,6.4683
2026-04-20T10:03:20,4.9026
2026-04-20T10:03:30,3.1771
2026-04-20T10:03:40,31.6492
2026-04-20T10:03:50,55.8294
2026-04-20T10:04:00,71.4247
2026-04-20T10:04:10,48.0386
2026-04-20T10:04:20,83.9809
2026-04-20T10:04:30,92.2872
2026-04-20T10:04:40,89.9977
2026-04-20T10:04:50,137.9802
2026-04-20T10:05:00,139.6962
2026-04-20T10:05:10,152.1225
2026-04-20T10:05:20,192.2176
2026-04-20T10:05:30,240.2577
2026-04-20T10:05:40,185.3585
2026-04-20T10:05:50,215.6331
2026-04-20T10:06:00,302.8393
2026-04-20T10:06:10,162.0638
2026-04-20T10:06:20,163.069
2026-04-20T10:06:30,184.8837
2026-04-20T10:06:40,256.5705
2026-04-20T10:06:50,146.502
2026-04-20T10:07:00,234.4404
2026-04-20T10:07:10,308.4207
2026-04-20T10:07:20,242.0832
2026-04-20T10:07:30,273.2261
2026-04-20T10:07:40,366.8785
2026-04-20T10:07:50,271.5716
2026-04-20T10:08:00,287.5134
2026-04-20T10:08:10,249.5599
2026-04-20T10:08:20,321.9888
2026-04-20T10:08:30,392.7826
2026-04-20T10:08:40,422.7429
2026-04-20T10:08:50,221.8882
2026-04-20T10:09:00,426.1929
2026-04-20T10:09:10,380.9695
2026-04-20T10:09:20,602.5413
2026-04-20T10:09:30,545.5207
2026-04-20T10:09:40,365.3283
2026-04-20T10:09:50,505.7117
