time,value
2026-04-20T10:00:00,0.5774
2026-04-20T10:00:10,1.5332
2026-04-20T10:00:20,0.7082
2026-04-20T10:00:30,1.6837
2026-04-20T10:00:40,0.8217
2026-04-20T10:00:50,1.6202
2026-04-20T10:01:00,0.5684
2026-04-20T10:01:10,0.3977
2026-04-20T10:01:20,0.8599
2026-04-20T10:01:30,1.8321
2026-04-20T10:01:40,1.6969
2026-04-20T10:01:50,1.8787
2026-04-20T10:02:00,0.8638
2026-04-20T10:02:10,0.5361
2026-04-20T10:02:20,0.866
2026-04-20T10:02:30,0.439
2026-04-20T10:02:40,0.5784
2026-04-20T10:02:50,1.4685
2026-04-20T10:03:00,0.4418
2026-04-20T10:03:10,1.143
2026-04-20T10:03:20,1.7337
2026-04-20T10:03:30,0.6846
2026-04-20T10:03:40,1.0287
2026-04-20T10:03:50,1.386
2026-04-20T10:04:00,22.4692
2026-04-20T10:04:10,22.2969
2026-04-20T10:04:20,15.2166
2026-04-20T10:04:30,40.8444
2026-04-20T10:04:40,44.386
2026-04-20T10:04:50,32.1299
2026-04-20T10:05:00,43.2799
2026-04-20T10:05:10,37.1878
2026-04-20T10:05:20,71.336
2026-04-20T10:05:30,66.4743
2026-04-20T10:05:40,47.6445
2026-04-20T10:05:50,88.8729
2026-04-20T10:06:00,80.0219
2026-04-20T10:06:10,89.6222
2026-04-20T10:06:20,124.509
2026-04-20T10:06:30,76.6821
2026-04-20T10:06:40,133.7153
2026-04-20T10:06:50,51.3575
2026-04-20T10:07:00,131.3975
2026-04-20T10:07:10,85.8542
2026-04-20T10:07:20,111.2432
2026-04-20T10:07:30,119.6998
2026-04-20T10:07:40,81.6127
2026-04-20T10:07:50,140.81
2026-04-20T10:08:00,132.6051
2026-04-20T10:08:10,131.6823
2026-04-20T10:08:20,145.6055
2026-04-20T10:08:30,154.7812
2026-04-20T10:08:40,198.3709
2026-04-20T10:08:50,95.5157
2026-04-20T10:09:00,134.6616
2026-04-20T10:09:10,145.9737
2026-04-20T10:09:20,194.3872
2026-04-20T10:09:30,173.4317
2026-04-20T10:09:40,171.9892
2026-04-20T10:09:50,187.2413
