time,value
2026-04-20T10:00:00,0.1846
2026-04-20T10:00:10,1.6114
2026-04-20T10:00:20,0.9799
2026-04-20T10:00:30,1.0744
2026-04-20T10:00:40,0.8345
2026-04-20T10:00:50,0.1987
2026-04-20T10:01:00,1.1607
2026-04-20T10:01:10,0.1549
2026-04-20T10:01:20,1.1659
2026-04-20T10:01:30,0.4627
2026-04-20T10:01:40,0.9666
2026-04-20T10:01:50,1.2359
2026-04-20T10:02:00,1.2354
2026-04-20T10:02:10,0.2268
2026-04-20T10:02:20,1.7605
2026-04-20T10:02:30,0.4305
2026-04-20T10:02:40,1.0535
2026-04-20T10:02:50,1.3127
2026-04-20T10:03:00,1.3278
2026-04-20T10:03:10,0.8684
2026-04-20T10:03:20,0.4511
2026-04-20T10:03:30,0.7754
2026-04-20T10:03:40,1.0013
2026-04-20T10:03:50,0.4531
2026-04-20T10:04:00,0.7721
2026-04-20T10:04:10,0.2108
2026-04-20T10:04:20,48.1611
2026-04-20T10:04:30,68.9313
2026-04-20T10:04:40,100.6814
2026-04-20T10:04:50,89.8273
2026-04-20T10:05:00,92.9771
2026-04-20T10:05:10,93.2322
2026-04-20T10:05:20,90.2443
2026-04-20T10:05:30,104.3449
2026-04-20T10:05:40,175.1367
2026-04-20T10:05:50,106.1999
2026-04-20T10:06:00,122.5648
2026-04-20T10:06:10,172.4884
2026-04-20T10:06:20,182.4905
2026-04-20T10:06:30,133.5747
2026-04-20T10:06:40,165.2564
2026-04-20T10:06:50,224.4794
2026-04-20T10:07:00,53.6774
2026-04-20T10:07:10,157.7996
2026-04-20T10:07:20,121.6361
2026-04-20T10:07:30,244.5421
2026-04-20T10:07:40,159.7031
2026-04-20T10:07:50,308.7281
2026-04-20T10:08:00,186.4145
2026-04-20T10:08:10,242.23
2026-04-20T10:08:20,217.4054
2026-04-20T10:08:30,222.7394
2026-04-20T10:08:40,207.9883
2026-04-20T10:08:50,241.2762
2026-04-20T10:09:00,320.1292
2026-04-20T10:09:10,295.328
2026-04-20T10:09:20,422.4385
2026-04-20T10:09:30,130.3777
2026-04-20T10:09:40,300.7362
2026-04-20T10:09:50,322.7121
