time,value
2026-04-20T10:00:00,5.8735
2026-04-20T10:00:10,6.476
2026-04-20T10:00:20,4.739
2026-04-20T10:00:30,2.6358
2026-04-20T10:00:40,7.6907
2026-04-20T10:00:50,6.0616
2026-04-20T10:01:00,3.5167
2026-04-20T10:01:10,2.4301
2026-04-20T10:01:20,1.4298
2026-04-20T10:01:30,5.4415
2026-04-20T10:01:40,3.0484
2026-04-20T10:01:50,6.8826
2026-04-20T10:02:00,4.6245
2026-04-20T10:02:10,4.2111
2026-04-20T10:02:20,7.0586
2026-04-20T10:02:30,3.995
2026-04-20T10:02:40,6.9036
2026-04-20T10:02:50,3.0177
2026-04-20T10:03:00,4.0116
2026-04-20T10:03:10,2.6175
2026-04-20T10:03:20,5.6633
2026-04-20T10:03:30,6.6134
2026-04-20T10:03:40,26.0543
2026-04-20T10:03:50,40.4559
2026-04-20T10:04:00,72.1202
2026-04-20T10:04:10,65.7609
2026-04-20T10:04:20,108.7118
2026-04-20T10:04:30,86.8927
2026-04-20T10:04:40,86.9312
2026-04-20T10:04:50,117.2174
2026-04-20T10:05:00,122.9872
2026-04-20T10:05:10,160.2354
2026-04-20T10:05:20,231.7687
2026-04-20T10:05:30,237.4339
2026-04-20T10:05:40,197.4649
2026-04-20T10:05:50,259.4115
2026-04-20T10:06:00,149.1994
2026-04-20T10:06:10,218.3656
2026-04-20T10:06:20,176.7408
2026-04-20T10:06:30,308.2391
2026-04-20T10:06:40,170.8354
2026-04-20T10:06:50,451.8851
2026-04-20T10:07:00,293.503
2026-04-20T10:07:10,340.9712
2026-04-20T10:07:20,253.7843
2026-04-20T10:07:30,287.5739
2026-04-20T10:07:40,327.1741
2026-04-20T10:07:50,254.4486
2026-04-20T10:08:00,252.6291
2026-04-20T10:08:10,324.9222
2026-04-20T10:08:20,343.1806
2026-04-20T10:08:30,330.8738
2026-04-20T10:08:40,436.9537
2026-04-20T10:08:50,366.5232
2026-04-20T10:09:00,360.5695
2026-04-20T10:09:10,515.1195
2026-04-20T10:09:20,553.5497
2026-04-20T10:09:30,338.5609
2026-04-20T10:09:40,623.4134
2026-04-20T10:09:50,336.5995
