time,value
2026-04-20T10:00:00,22.0234
2026-04-20T10:00:10,17.4779
2026-04-20T10:00:20,11.8859
2026-04-20T10:00:30,14.7259
2026-04-20T10:00:40,21.673
2026-04-20T10:00:50,22.4155
2026-04-20T10:01:00,24.8758
2026-04-20T10:01:10,20.8407
2026-04-20T10:01:20,19.0253
2026-04-20T10:01:30,18.7079
2026-04-20T10:01:40,17.0006
2026-04-20T10:01:50,15.7881
2026-04-20T10:02:00,12.4772
2026-04-20T10:02:10,16.8354
2026-04-20T10:02:20,12.8473
2026-04-20T10:02:30,21.3763
2026-04-20T10:02:40,26.4662
2026-04-20T10:02:50,18.6321
2026-04-20T10:03:00,20.8428
2026-04-20T10:03:10,16.9258
2026-04-20T10:03:20,19.4738
2026-04-20T10:03:30,15.516
2026-04-20T10:03:40,33.6809
2026-04-20T10:03:50,33.4816
2026-04-20T10:04:00,38.892
2026-04-20T10:04:10,44.3066
2026-04-20T10:04:20,49.0311
2026-04-20T10:04:30,51.1855
2026-04-20T10:04:40,67.7292
2026-04-20T10:04:50,63.0018
2026-04-20T10:05:00,75.4246
2026-04-20T10:05:10,77.3653
2026-04-20T10:05:20,82.1195
2026-04-20T10:05:30,86.8584
2026-04-20T10:05:40,93.2449
2026-04-20T10:05:50,95.9146
2026-04-20T10:06:00,102.5962
2026-04-20T10:06:10,107.7682
2026-04-20T10:06:20,114.7211
2026-04-20T10:06:30,116.5461
2026-04-20T10:06:40,122.1706
2026-04-20T10:06:50,125.8916
2026-04-20T10:07:00,133.1343
2026-04-20T10:07:10,136.37
2026-04-20T10:07:20,140.3228
2026-04-20T10:07:30,145.6978
2026-04-20T10:07:40,153.2376
2026-04-20T10:07:50,158.6599
2026-04-20T10:08:00,163.7423
2026-04-20T10:08:10,166.4082
2026-04-20T10:08:20,170.6014
2026-04-20T10:08:30,177.8905
2026-04-20T10:08:40,181.7294
2026-04-20T10:08:50,186.2026
2026-04-20T10:09:00,191.4589
2026-04-20T10:09:10,197.1346
2026-04-20T10:09:20,203.8947
2026-04-20T10:09:30,205.948
2026-04-20T10:09:40,210.2015
2026-04-20T10:09:50,214.0169
