time,value
2026-04-20T10:00:00,32.6358
2026-04-20T10:00:10,30.9889
2026-04-20T10:00:20,29.344
2026-04-20T10:00:30,18.3773
2026-04-20T10:00:40,30.2389
2026-04-20T10:00:50,37.5095
2026-04-20T10:01:00,30.5702
2026-04-20T10:01:10,40.5161
2026-04-20T10:01:20,33.5115
2026-04-20T10:01:30,25.2173
2026-04-20T10:01:40,31.9848
2026-04-20T10:01:50,33.8723
2026-04-20T10:02:00,47.1161
2026-04-20T10:02:10,37.4364
2026-04-20T10:02:20,30.8999
2026-04-20T10:02:30,23.1054
2026-04-20T10:02:40,26.255
2026-04-20T10:02:50,17.7503
2026-04-20T10:03:00,21.8516
2026-04-20T10:03:10,44.0369
2026-04-20T10:03:20,37.2506
2026-04-20T10:03:30,40.0887
2026-04-20T10:03:40,43.6591
2026-04-20T10:03:50,58.5006
2026-04-20T10:04:00,43.6983
2026-04-20T10:04:10,51.1703
2026-04-20T10:04:20,47.9863
2026-04-20T10:04:30,67.1955
2026-04-20T10:04:40,65.8383
2026-04-20T10:04:50,71.833
2026-04-20T10:05:00,76.2059
2026-04-20T10:05:10,78.3991
2026-04-20T10:05:20,85.0267
2026-04-20T10:05:30,89.7888
2026-04-20T10:05:40,94.1877
2026-04-20T10:05:50,98.2966
2026-04-20T10:06:00,104.2804
2026-04-20T10:06:10,109.0216
2026-04-20T10:06:20,113.5884
2026-04-20T10:06:30,119.4956
2026-04-20T10:06:40,123.5177
2026-04-20T10:06:50,127.9494
2026-04-20T10:07:00,133.563
2026-04-20T10:07:10,140.1771
2026-04-20T10:07:20,144.2516
2026-04-20T10:07:30,147.2944
2026-04-20T10:07:40,153.7888
2026-04-20T10:07:50,157.9861
2026-04-20T10:08:00,164.0932
2026-04-20T10:08:10,166.8539
2026-04-20T10:08:20,173.3354
2026-04-20T10:08:30,178.3893
2026-04-20T10:08:40,183.4869
2026-04-20T10:08:50,188.9902
2026-04-20T10:09:00,193.4892
2026-04-20T10:09:10,196.5839
2026-04-20T10:09:20,202.0458
2026-04-20T10:09:30,208.4338
2026-04-20T10:09:40,212.2096
2026-04-20T10:09:50,218.021
