time,value
2026-04-20T10:00:00,32.7866
2026-04-20T10:00:10,54.5805
2026-04-20T10:00:20,37.7002
2026-04-20T10:00:30,41.4891
2026-04-20T10:00:40,39.1518
2026-04-20T10:00:50,35.9609
2026-04-20T10:01:00,30.6964
2026-04-20T10:01:10,29.4852
2026-04-20T10:01:20,36.9172
2026-04-20T10:01:30,28.9384
2026-04-20T10:01:40,44.3029
2026-04-20T10:01:50,28.5883
2026-04-20T10:02:00,49.0912
2026-04-20T10:02:10,40.0385
2026-04-20T10:02:20,35.7255
2026-04-20T10:02:30,38.7342
2026-04-20T10:02:40,44.1683
2026-04-20T10:02:50,39.7943
2026-04-20T10:03:00,52.1354
2026-04-20T10:03:10,46.4457
2026-04-20T10:03:20,50.086
2026-04-20T10:03:30,30.2608
2026-04-20T10:03:40,61.5675
2026-04-20T10:03:50,46.1341
2026-04-20T10:04:00,50.6726
2026-04-20T10:04:10,48.7684
2026-04-20T10:04:20,75.6553
2026-04-20T10:04:30,67.378
2026-04-20T10:04:40,73.6211
2026-04-20T10:04:50,77.7794
2026-04-20T10:05:00,80.2303
2026-04-20T10:05:10,80.6109
2026-04-20T10:05:20,81.9577
2026-04-20T10:05:30,90.7163
2026-04-20T10:05:40,92.1063
2026-04-20T10:05:50,99.5094
2026-04-20T10:06:00,103.931
2026-04-20T10:06:10,108.5385
2026-04-20T10:06:20,114.4943
2026-04-20T10:06:30,119.7888
2026-04-20T10:06:40,122.2637
2026-04-20T10:06:50,128.9909
2026-04-20T10:07:00,132.8596
2026-04-20T10:07:10,138.9276
2026-04-20T10:07:20,142.5658
2026-04-20T10:07:30,148.0771
2026-04-20T10:07:40,152.1067
2026-04-20T10:07:50,159.5862
2026-04-20T10:08:00,162.9347
2026-04-20T10:08:10,169.0221
2026-04-20T10:08:20,173.0853
2026-04-20T10:08:30,177.3979
2026-04-20T10:08:40,183.5622
2026-04-20T10:08:50,191.1233
2026-04-20T10:09:00,193.7686
2026-04-20T10:09:10,197.9973
2026-04-20T10:09:20,200.9892
2026-04-20T10:09:30,207.9039
2026-04-20T10:09:40,210.7409
2026-04-20T10:09:50,218.1633
