time,value
2026-04-20T10:00:00,0.2707
2026-04-20T10:00:10,0.0782
2026-04-20T10:00:20,0.054
2026-04-20T10:00:30,0.0315
2026-04-20T10:00:40,0.0244
2026-04-20T10:00:50,0.096
2026-04-20T10:01:00,0.1012
2026-04-20T10:01:10,0.0736
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.0
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.0
2026-04-20T10:02:50,0.0
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.0019
2026-04-20T10:03:20,0.0
2026-04-20T10:03:30,0.0
2026-04-20T10:03:40,0.0248
2026-04-20T10:03:50,0.1179
2026-04-20T10:04:00,0.1749
2026-04-20T10:04:10,0.0893
2026-04-20T10:04:20,0.4775
2026-04-20T10:04:30,0.5047
2026-04-20T10:04:40,0.5114
2026-04-20T10:04:50,0.5748
2026-04-20T10:05:00,0.691
2026-04-20T10:05:10,0.6699
2026-04-20T10:05:20,0.8989
2026-04-20T10:05:30,0.8628
2026-04-20T10:05:40,0.9491
2026-04-20T10:05:50,1.0121
2026-04-20T10:06:00,1.1452
2026-04-20T10:06:10,0.9739
2026-04-20T10:06:20,0.8146
2026-04-20T10:06:30,1.2683
2026-04-20T10:06:40,1.3435
2026-04-20T10:06:50,1.2707
2026-04-20T10:07:00,1.408
2026-04-20T10:07:10,1.5186
2026-04-20T10:07:20,1.3878
2026-04-20T10:07:30,1.4843
2026-04-20T10:07:40,1.5375
2026-04-20T10:07:50,1.6657
2026-04-20T10:08:00,1.6681
2026-04-20T10:08:10,1.7227
2026-04-20T10:08:20,1.7169
2026-04-20T10:08:30,1.6733
2026-04-20T10:08:40,1.7244
2026-04-20T10:08:50,1.9304
2026-04-20T10:09:00,1.9591
2026-04-20T10:09:10,1.9587
2026-04-20T10:09:20,2.1437
2026-04-20T10:09:30,2.0707
2026-04-20T10:09:40,2.0897
2026-04-20T10:09:50,2.3248
