time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.106
2026-04-20T10:00:20,0.0704
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,0.0123
2026-04-20T10:01:10,0.0837
2026-04-20T10:01:20,0.132
2026-04-20T10:01:30,0.0043
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.2132
2026-04-20T10:02:10,0.1516
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.0065
2026-04-20T10:02:40,0.0991
2026-04-20T10:02:50,0.1349
2026-04-20T10:03:00,0.0052
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.1197
2026-04-20T10:03:30,0.1411
2026-04-20T10:03:40,1.6227
2026-04-20T10:03:50,3.1836
2026-04-20T10:04:00,4.8451
2026-04-20T10:04:10,4.336
2026-04-20T10:04:20,3.5597
2026-04-20T10:04:30,5.7723
2026-04-20T10:04:40,8.3604
2026-04-20T10:04:50,11.0372
2026-04-20T10:05:00,8.9005
2026-04-20T10:05:10,8.5568
2026-04-20T10:05:20,14.0751
2026-04-20T10:05:30,12.1973
2026-04-20T10:05:40,14.513
2026-04-20T10:05:50,9.9852
2026-04-20T10:06:00,16.4961
2026-04-20T10:06:10,20.0076
2026-04-20T10:06:20,20.2325
2026-04-20T10:06:30,13.5809
2026-04-20T10:06:40,12.87
2026-04-20T10:06:50,14.2303
2026-04-20T10:07:00,27.2959
2026-04-20T10:07:10,16.845
2026-04-20T10:07:20,20.4621
2026-04-20T10:07:30,23.6373
2026-04-20T10:07:40,31.6848
2026-04-20T10:07:50,25.0029
2026-04-20T10:08:00,30.7789
2026-04-20T10:08:10,21.4546
2026-04-20T10:08:20,35.149
2026-04-20T10:08:30,18.2402
2026-04-20T10:08:40,15.3349
2026-04-20T10:08:50,16.6901
2026-04-20T10:09:00,28.9912
2026-04-20T10:09:10,13.9638
2026-04-20T10:09:20,48.5899
2026-04-20T10:09:30,34.8094
2026-04-20T10:09:40,35.7675
2026-04-20T10:09:50,14.6687
