time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.1639
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.1809
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.0195
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.1502
2026-04-20T10:02:00,0.0494
2026-04-20T10:02:10,0.0
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.0137
2026-04-20T10:02:50,0.0362
2026-04-20T10:03:00,0.1434
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.0
2026-04-20T10:03:30,0.0364
2026-04-20T10:03:40,0.0
2026-04-20T10:03:50,0.0
2026-04-20T10:04:00,0.2764
2026-04-20T10:04:10,0.2854
2026-04-20T10:04:20,0.3522
2026-04-20T10:04:30,0.4283
2026-04-20T10:04:40,0.4966
2026-04-20T10:04:50,0.6987
2026-04-20T10:05:00,0.691
2026-04-20T10:05:10,0.8036
2026-04-20T10:05:20,0.8575
2026-04-20T10:05:30,0.9225
2026-04-20T10:05:40,0.9437
2026-04-20T10:05:50,0.9523
2026-04-20T10:06:00,1.078
2026-04-20T10:06:10,1.0963
2026-04-20T10:06:20,1.2062
2026-04-20T10:06:30,1.2359
2026-04-20T10:06:40,1.4073
2026-04-20T10:06:50,1.3086
2026-04-20T10:07:00,1.2512
2026-04-20T10:07:10,1.41
2026-04-20T10:07:20,1.4355
2026-04-20T10:07:30,1.3495
2026-04-20T10:07:40,1.364
2026-04-20T10:07:50,1.3464
2026-04-20T10:08:00,1.6347
2026-04-20T10:08:10,1.6221
2026-04-20T10:08:20,1.7254
2026-04-20T10:08:30,1.7486
2026-04-20T10:08:40,2.0033
2026-04-20T10:08:50,1.9619
2026-04-20T10:09:00,1.8182
2026-04-20T10:09:10,1.9995
2026-04-20T10:09:20,1.9527
2026-04-20T10:09:30,2.3765
2026-04-20T10:09:40,2.0459
2026-04-20T10:09:50,2.2649
