time,value
2026-04-20T10:00:00,0.0818
2026-04-20T10:00:10,0.0
2026-04-20T10:00:20,0.0328
2026-04-20T10:00:30,0.0
2026-04-20T10:00:40,0.0
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,0.0368
2026-04-20T10:01:10,0.0082
2026-04-20T10:01:20,0.0
2026-04-20T10:01:30,0.0576
2026-04-20T10:01:40,0.0
2026-04-20T10:01:50,0.0
2026-04-20T10:02:00,0.0
2026-04-20T10:02:10,0.0413
2026-04-20T10:02:20,0.0093
2026-04-20T10:02:30,0.0
2026-04-20T10:02:40,0.0
2026-04-20T10:02:50,0.1946
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.0856
2026-04-20T10:03:20,0.0243
2026-04-20T10:03:30,0.1075
2026-04-20T10:03:40,0.099
2026-04-20T10:03:50,0.1027
2026-04-20T10:04:00,0.1354
2026-04-20T10:04:10,0.2663
2026-04-20T10:04:20,0.5651
2026-04-20T10:04:30,0.3081
2026-04-20T10:04:40,0.5586
2026-04-20T10:04:50,0.6517
2026-04-20T10:05:00,0.6413
2026-04-20T10:05:10,0.7347
2026-04-20T10:05:20,0.9324
2026-04-20T10:05:30,0.8513
2026-04-20T10:05:40,0.8474
2026-04-20T10:05:50,0.9934
2026-04-20T10:06:00,1.0933
2026-04-20T10:06:10,1.0961
2026-04-20T10:06:20,1.0936
2026-04-20T10:06:30,1.4142
2026-04-20T10:06:40,1.2449
2026-04-20T10:06:50,1.2508
2026-04-20T10:07:00,1.1675
2026-04-20T10:07:10,1.4449
2026-04-20T10:07:20,1.5238
2026-04-20T10:07:30,1.5367
2026-04-20T10:07:40,1.4108
2026-04-20T10:07:50,1.5682
2026-04-20T10:08:00,1.4416
2026-04-20T10:08:10,1.6987
2026-04-20T10:08:20,1.7857
2026-04-20T10:08:30,1.8269
2026-04-20T10:08:40,1.9041
2026-04-20T10:08:50,1.7969
2026-04-20T10:09:00,2.0139
2026-04-20T10:09:10,1.9379
2026-04-20T10:09:20,1.9439
2026-04-20T10:09:30,2.1106
2026-04-20T10:09:40,2.0418
2026-04-20T10:09:50,2.2767
