time,value
2026-04-20T10:00:00,0.0
2026-04-20T10:00:10,0.0038
2026-04-20T10:00:20,0.0
2026-04-20T10:00:30,0.0323
2026-04-20T10:00:40,0.1198
2026-04-20T10:00:50,0.0
2026-04-20T10:01:00,0.0
2026-04-20T10:01:10,0.0
2026-04-20T10:01:20,0.0647
2026-04-20T10:01:30,0.0963
2026-04-20T10:01:40,0.0894
2026-04-20T10:01:50,0.0832
2026-04-20T10:02:00,0.0931
2026-04-20T10:02:10,0.0491
2026-04-20T10:02:20,0.0
2026-04-20T10:02:30,0.0194
2026-04-20T10:02:40,0.0
2026-04-20T10:02:50,0.0018
2026-04-20T10:03:00,0.0
2026-04-20T10:03:10,0.0
2026-04-20T10:03:20,0.0017
2026-04-20T10:03:30,0.4216
2026-04-20T10:03:40,0.4974
2026-04-20T10:03:50,0.778
2026-04-20T10:04:00,0.8934
2026-04-20T10:04:10,1.4919
2026-04-20T10:04:20,1.9721
2026-04-20T10:04:30,2.6629
2026-04-20T10:04:40,3.7052
2026-04-20T10:04:50,3.4568
2026-04-20T10:05:00,2.3893
2026-04-20T10:05:10,3.2852
2026-04-20T10:05:20,4.4936
2026-04-20T10:05:30,5.9002
2026-04-20T10:05:40,4.1587
2026-04-20T10:05:50,3.5541
2026-04-20T10:06:00,5.3361
2026-04-20T10:06:10,6.0391
2026-04-20T10:06:20,6.1115
2026-04-20T10:06:30,3.8701
2026-04-20T10:06:40,5.9766
2026-04-20T10:06:50,7.8577
2026-04-20T10:07:00,8.1102
2026-04-20T10:07:10,5.1457
2026-04-20T10:07:20,7.0349
2026-04-20T10:07:30,8.2391
2026-04-20T10:07:40,7.5084
2026-04-20T10:07:50,10.3907
2026-04-20T10:08:00,7.2304
2026-04-20T10:08:10,6.6681
2026-04-20T10:08:20,9.9536
2026-04-20T10:08:30,8.5297
2026-04-20T10:08:40,9.585
2026-04-20T10:08:50,8.6601
2026-04-20T10:09:00,9.7349
2026-04-20T10:09:10,7.6516
2026-04-20T10:09:20,10.2226
2026-04-20T10:09:30,8.8535
2026-04-20T10:09:40,11.8619
2026-04-20T10:09:50,9.337
